train_name,route,temperature,weather,day_of_week,holiday,delay_minutes
Udaya Devi,Colombo-Anuradhapura,35,sunny,Tuesday,No,13
Udarata Menike,Badulla–Colombo,34,cloudy,Friday,No,3
Ruhunu Kumari,Maradana-Matara,30,sunny,Tuesday,No,5
Udaya Devi,Colombo-Kandy,27,cloudy,Friday,No,4
Podi Menike,Matara-Colombo,25,rainy,Wednesday,Yes,21
Udaya Devi,Galle-Colombo,26,cloudy,Sunday,No,9
Podi Menike,Colombo-Anuradhapura,32,cloudy,Monday,Yes,8
Samudra Devi,Maradana-Galle,21,cloudy,Wednesday,No,11
Samudra Devi,Galle-Maradana,33,cloudy,Friday,No,10
Rajarata Rejini,Colombo-Vavuniya,27,sunny,Monday,No,13
Rajarata Rejini,Colombo-Vavuniya,34,sunny,Monday,No,18
Rajarata Rejini,Colombo-Vavuniya,24,rainy,Wednesday,No,40
Udaya Devi,Colombo-Badulla,32,sunny,Thursday,No,10
Yal Devi,Colombo-Jaffna,26,rainy,Thursday,No,46
Udarata Menike,Badulla–Colombo,29,cloudy,Friday,Yes,16
Udaya Devi,Colombo-Kandy,32,cloudy,Friday,Yes,15
Ruhunu Kumari,Maradana-Matara,30,sunny,Tuesday,No,13
Intercity Express,Anuradhapura-Colombo,26,cloudy,Sunday,No,16
Rajarata Rejini,Colombo-Vavuniya,31,sunny,Monday,No,18
Podi Menike,Anuradhapura-Colombo,35,sunny,Tuesday,No,21
Samudra Devi,Maradana-Galle,34,sunny,Monday,No,19
Udarata Menike,Badulla–Colombo,22,rainy,Friday,No,33
Podi Menike,Colombo-Anuradhapura,29,cloudy,Sunday,No,11
Intercity Express,Galle-Colombo,27,rainy,Saturday,No,14
Samudra Devi,Maradana-Galle,26,cloudy,Friday,No,10
Ruhunu Kumari,Maradana-Matara,25,sunny,Friday,No,19
Udaya Devi,AnuradhapuraColombo,26,sunny,Sunday,No,21
Rajarata Rejini,Colombo-Vavuniya,25,rainy,Tuesday,No,32
Ruhunu Kumari,Matara-Maradana,29,sunny,Monday,No,16
Ruhunu Kumari,Matara-Maradana,24,rainy,Saturday,No,15
Ruhunu Kumari,Maradana-Matara,34,cloudy,Monday,No,12
Udarata Menike,Galle-Colombo,26,cloudy,Wednesday,No,9
Yal Devi,Colombo-Badulla,27,cloudy,Tuesday,No,11
Samudra Devi,Maradana-Galle,27,sunny,Friday,No,15
Samudra Devi,Maradana-Galle,28,sunny,Saturday,No,23
Intercity Express,Colombo-Anuradhapura,25,cloudy,Tuesday,No,14
Intercity Express,Colombo-Matara,25,rainy,Sunday,Yes,13
Samudra Devi,Galle-Maradana,23,rainy,Wednesday,No,34
Rajarata Rejini,Colombo-Vavuniya,32,cloudy,Wednesday,Yes,12
Ruhunu Kumari,Maradana-Matara,25,rainy,Tuesday,No,44
Samudra Devi,Maradana-Galle,34,sunny,Saturday,No,1
Rajarata Rejini,Colombo-Vavuniya,26,rainy,Thursday,No,37
Intercity Express,Matara-Colombo,31,sunny,Thursday,No,18
Udarata Menike,Badulla–Colombo,29,cloudy,Friday,No,14
Podi Menike,Galle-Colombo,25,rainy,Monday,Yes,20
Yal Devi,Kandy-Colombo,26,rainy,Tuesday,No,28
Samudra Devi,Maradana-Galle,31,sunny,Sunday,No,2
Rajarata Rejini,Colombo-Vavuniya,27,cloudy,Thursday,No,12
Udaya Devi,Colombo-Matara,24,cloudy,Wednesday,No,9
Ruhunu Kumari,Maradana-Matara,30,cloudy,Wednesday,Yes,4
Rajarata Rejini,Colombo-Vavuniya,24,rainy,Saturday,No,11
Udaya Devi,Galle-Colombo,29,cloudy,Saturday,Yes,12
Udarata Menike,Jaffna-Colombo,26,cloudy,Monday,No,8
Ruhunu Kumari,Matara-Maradana,27,cloudy,Monday,No,15
Ruhunu Kumari,Matara-Maradana,33,sunny,Monday,No,17
Ruhunu Kumari,Matara-Maradana,24,rainy,Monday,No,23
Ruhunu Kumari,Matara-Maradana,26,cloudy,Monday,Yes,6
Ruhunu Kumari,Matara-Maradana,25,rainy,Monday,Yes,19
Ruhunu Kumari,Matara-Maradana,34,sunny,Monday,Yes,13
Ruhunu Kumari,Matara-Maradana,26,cloudy,Monday,No,14
Ruhunu Kumari,Matara-Maradana,34,sunny,Monday,No,18
Ruhunu Kumari,Matara-Maradana,22,rainy,Monday,No,25
Ruhunu Kumari,Matara-Maradana,27,cloudy,Monday,Yes,8
Ruhunu Kumari,Matara-Maradana,23,rainy,Monday,Yes,21
Ruhunu Kumari,Matara-Maradana,36,sunny,Monday,Yes,14
Ruhunu Kumari,Matara-Maradana,25,cloudy,Monday,No,11
Ruhunu Kumari,Matara-Maradana,30,sunny,Monday,No,15
Ruhunu Kumari,Matara-Maradana,24,rainy,Monday,No,25
Ruhunu Kumari,Matara-Maradana,28,cloudy,Monday,Yes,8
Ruhunu Kumari,Matara-Maradana,23,rainy,Monday,Yes,19
Ruhunu Kumari,Matara-Maradana,24,sunny,Monday,Yes,12
Ruhunu Kumari,Maradana-Galle,25,cloudy,Monday,No,16
Ruhunu Kumari,Maradana-Galle,32,sunny,Monday,No,18
Ruhunu Kumari,Maradana-Galle,24,rainy,Monday,No,21
Ruhunu Kumari,Maradana-Galle,25,cloudy,Monday,Yes,10
Ruhunu Kumari,Maradana-Galle,21,rainy,Monday,Yes,24
Ruhunu Kumari,Maradana-Galle,24,sunny,Monday,Yes,12
Ruhunu Kumari,Maradana-Galle,27,cloudy,Monday,No,16
Ruhunu Kumari,Maradana-Galle,34,sunny,Monday,No,18
Ruhunu Kumari,Maradana-Galle,24,rainy,Monday,No,21
Ruhunu Kumari,Maradana-Galle,29,cloudy,Monday,Yes,10
Ruhunu Kumari,Maradana-Galle,25,rainy,Monday,Yes,24
Ruhunu Kumari,Maradana-Galle,34,sunny,Monday,Yes,12
Ruhunu Kumari,Matara - Maradana,30,Sunny,Tuesday,Yes,16
Ruhunu Kumari,Matara - Maradana,34,Sunny,Wednesday,No,1
Ruhunu Kumari,Matara - Maradana,33,Rainy,Thursday,No,43
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Friday,No,3
Ruhunu Kumari,Matara - Maradana,31,Rainy,Saturday,No,16
Ruhunu Kumari,Matara - Maradana,30,Rainy,Sunday,No,45
Ruhunu Kumari,Matara - Maradana,33,Sunny,Monday,No,20
Ruhunu Kumari,Matara - Maradana,33,Sunny,Monday,No,8
Ruhunu Kumari,Matara - Maradana,30,Rainy,Monday,No,15
Ruhunu Kumari,Matara - Maradana,32,Windy,Monday,No,13
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Monday,No,2
Ruhunu Kumari,Matara - Maradana,28,Rainy,Monday,No,26
Ruhunu Kumari,Matara - Maradana,32,Windy,Monday,No,19
Ruhunu Kumari,Matara - Maradana,34,Windy,Monday,No,24
Ruhunu Kumari,Matara - Maradana,28,Rainy,Monday,No,30
Ruhunu Kumari,Matara - Maradana,30,Sunny,Monday,No,1
Ruhunu Kumari,Matara - Maradana,29,Sunny,Monday,No,15
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Monday,No,8
Ruhunu Kumari,Matara - Maradana,29,Sunny,Monday,No,18
Ruhunu Kumari,Matara - Maradana,34,Sunny,Monday,No,25
Ruhunu Kumari,Matara - Maradana,29,Sunny,Monday,No,9
Ruhunu Kumari,Matara - Maradana,34,Sunny,Monday,No,16
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Monday,No,8
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Monday,No,1
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Monday,No,2
Ruhunu Kumari,Matara - Maradana,32,Sunny,Monday,No,1
Ruhunu Kumari,Matara - Maradana,31,Sunny,Monday,No,0
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Monday,No,9
Ruhunu Kumari,Matara - Maradana,32,Rainy,Monday,No,43
Ruhunu Kumari,Matara - Maradana,29,Windy,Monday,No,25
Ruhunu Kumari,Matara - Maradana,28,Rainy,Monday,Yes,40
Ruhunu Kumari,Matara - Maradana,32,Sunny,Monday,No,5
Ruhunu Kumari,Matara - Maradana,30,Sunny,Monday,No,25
Ruhunu Kumari,Matara - Maradana,30,Sunny,Monday,No,20
Ruhunu Kumari,Matara - Maradana,32,Rainy,Monday,No,40
Ruhunu Kumari,Matara - Maradana,30,Rainy,Monday,No,59
Ruhunu Kumari,Matara - Maradana,30,Sunny,Monday,No,0
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Monday,No,23
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Monday,No,2
Ruhunu Kumari,Matara - Maradana,28,Sunny,Monday,No,4
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Monday,No,13
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Monday,No,17
Ruhunu Kumari,Matara - Maradana,31,Sunny,Monday,No,19
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Monday,No,5
Ruhunu Kumari,Matara - Maradana,32,Sunny,Monday,No,18
Ruhunu Kumari,Matara - Maradana,29,Sunny,Monday,No,3
Ruhunu Kumari,Matara - Maradana,30,Sunny,Monday,No,0
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Monday,Yes,1
Ruhunu Kumari,Matara - Maradana,33,Rainy,Monday,No,49
Ruhunu Kumari,Matara - Maradana,30,Sunny,Monday,No,22
Ruhunu Kumari,Matara - Maradana,31,Sunny,Monday,No,8
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Monday,No,12
Ruhunu Kumari,Matara - Maradana,29,Sunny,Monday,No,5
Ruhunu Kumari,Matara - Maradana,32,Sunny,Monday,No,20
Ruhunu Kumari,Matara - Maradana,29,Rainy,Monday,No,28
Ruhunu Kumari,Matara - Maradana,30,Sunny,Monday,Yes,5
Ruhunu Kumari,Matara - Maradana,29,Rainy,Tuesday,No,45
Ruhunu Kumari,Matara - Maradana,31,Sunny,Tuesday,No,20
Ruhunu Kumari,Matara - Maradana,30,Rainy,Tuesday,No,59
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Tuesday,No,23
Ruhunu Kumari,Matara - Maradana,29,Sunny,Tuesday,No,17
Ruhunu Kumari,Matara - Maradana,31,Sunny,Tuesday,No,5
Ruhunu Kumari,Matara - Maradana,29,Rainy,Tuesday,No,23
Ruhunu Kumari,Matara - Maradana,29,Sunny,Tuesday,No,24
Ruhunu Kumari,Matara - Maradana,31,Sunny,Tuesday,Yes,17
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Tuesday,No,16
Ruhunu Kumari,Matara - Maradana,28,Rainy,Tuesday,No,56
Ruhunu Kumari,Matara - Maradana,31,Sunny,Tuesday,No,0
Ruhunu Kumari,Matara - Maradana,33,Rainy,Tuesday,Yes,56
Ruhunu Kumari,Matara - Maradana,33,Windy,Tuesday,No,16
Ruhunu Kumari,Matara - Maradana,29,Sunny,Tuesday,Yes,9
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Tuesday,No,13
Ruhunu Kumari,Matara - Maradana,34,Rainy,Tuesday,No,42
Ruhunu Kumari,Matara - Maradana,32,Sunny,Tuesday,No,17
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Tuesday,No,10
Ruhunu Kumari,Matara - Maradana,31,Sunny,Tuesday,No,5
Ruhunu Kumari,Matara - Maradana,29,Rainy,Tuesday,No,29
Ruhunu Kumari,Matara - Maradana,29,Rainy,Tuesday,No,50
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Tuesday,Yes,19
Ruhunu Kumari,Matara - Maradana,31,Sunny,Tuesday,No,0
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Tuesday,No,7
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Tuesday,No,20
Ruhunu Kumari,Matara - Maradana,33,Rainy,Tuesday,No,43
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Tuesday,No,5
Ruhunu Kumari,Matara - Maradana,32,Sunny,Tuesday,No,25
Ruhunu Kumari,Matara - Maradana,30,Rainy,Tuesday,No,46
Ruhunu Kumari,Matara - Maradana,29,Sunny,Tuesday,No,22
Ruhunu Kumari,Matara - Maradana,32,Rainy,Tuesday,No,46
Ruhunu Kumari,Matara - Maradana,34,Sunny,Tuesday,No,13
Ruhunu Kumari,Matara - Maradana,28,Sunny,Tuesday,No,25
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Tuesday,No,12
Ruhunu Kumari,Matara - Maradana,32,Rainy,Tuesday,Yes,24
Ruhunu Kumari,Matara - Maradana,32,Windy,Tuesday,No,19
Ruhunu Kumari,Matara - Maradana,34,Sunny,Tuesday,No,12
Ruhunu Kumari,Matara - Maradana,33,Rainy,Tuesday,No,26
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Tuesday,No,12
Ruhunu Kumari,Matara - Maradana,31,Sunny,Tuesday,No,22
Ruhunu Kumari,Matara - Maradana,34,Windy,Tuesday,No,14
Ruhunu Kumari,Matara - Maradana,30,Sunny,Tuesday,No,14
Ruhunu Kumari,Matara - Maradana,28,Sunny,Tuesday,Yes,7
Ruhunu Kumari,Matara - Maradana,33,Windy,Tuesday,No,23
Ruhunu Kumari,Matara - Maradana,30,Rainy,Tuesday,No,28
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Tuesday,No,6
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Tuesday,No,24
Ruhunu Kumari,Matara - Maradana,28,Sunny,Tuesday,Yes,20
Ruhunu Kumari,Matara - Maradana,33,Sunny,Tuesday,Yes,14
Ruhunu Kumari,Matara - Maradana,34,Sunny,Wednesday,Yes,20
Ruhunu Kumari,Matara - Maradana,34,Sunny,Wednesday,No,3
Ruhunu Kumari,Matara - Maradana,28,Rainy,Wednesday,No,51
Ruhunu Kumari,Matara - Maradana,33,Sunny,Wednesday,No,11
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Wednesday,No,16
Ruhunu Kumari,Matara - Maradana,34,Sunny,Wednesday,No,8
Ruhunu Kumari,Matara - Maradana,28,Rainy,Wednesday,No,16
Ruhunu Kumari,Matara - Maradana,31,Sunny,Wednesday,No,12
Ruhunu Kumari,Matara - Maradana,29,Rainy,Wednesday,No,55
Ruhunu Kumari,Matara - Maradana,34,Sunny,Wednesday,No,13
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Wednesday,No,4
Ruhunu Kumari,Matara - Maradana,31,Rainy,Wednesday,No,43
Ruhunu Kumari,Matara - Maradana,28,Sunny,Wednesday,No,25
Ruhunu Kumari,Matara - Maradana,32,Rainy,Wednesday,No,41
Ruhunu Kumari,Matara - Maradana,33,Sunny,Wednesday,No,24
Ruhunu Kumari,Matara - Maradana,28,Sunny,Wednesday,Yes,16
Ruhunu Kumari,Matara - Maradana,33,Sunny,Wednesday,No,21
Ruhunu Kumari,Matara - Maradana,29,Sunny,Wednesday,Yes,20
Ruhunu Kumari,Matara - Maradana,30,Rainy,Wednesday,No,20
Ruhunu Kumari,Matara - Maradana,30,Sunny,Wednesday,No,16
Ruhunu Kumari,Matara - Maradana,31,Sunny,Wednesday,No,16
Ruhunu Kumari,Matara - Maradana,29,Sunny,Wednesday,No,11
Ruhunu Kumari,Matara - Maradana,33,Rainy,Wednesday,No,28
Ruhunu Kumari,Matara - Maradana,32,Sunny,Wednesday,No,12
Ruhunu Kumari,Matara - Maradana,31,Rainy,Wednesday,No,58
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Wednesday,No,14
Ruhunu Kumari,Matara - Maradana,32,Rainy,Wednesday,No,18
Ruhunu Kumari,Matara - Maradana,28,Rainy,Wednesday,No,40
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Wednesday,Yes,23
Ruhunu Kumari,Matara - Maradana,32,Sunny,Wednesday,No,12
Ruhunu Kumari,Matara - Maradana,30,Rainy,Wednesday,No,46
Ruhunu Kumari,Matara - Maradana,28,Sunny,Wednesday,No,1
Ruhunu Kumari,Matara - Maradana,29,Rainy,Wednesday,No,15
Ruhunu Kumari,Matara - Maradana,31,Sunny,Wednesday,No,3
Ruhunu Kumari,Matara - Maradana,34,Sunny,Wednesday,No,14
Ruhunu Kumari,Matara - Maradana,32,Rainy,Wednesday,No,59
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Wednesday,No,17
Ruhunu Kumari,Matara - Maradana,29,Rainy,Wednesday,No,31
Ruhunu Kumari,Matara - Maradana,33,Sunny,Wednesday,No,20
Ruhunu Kumari,Matara - Maradana,34,Sunny,Wednesday,Yes,23
Ruhunu Kumari,Matara - Maradana,30,Sunny,Wednesday,No,0
Ruhunu Kumari,Matara - Maradana,30,Sunny,Wednesday,No,22
Ruhunu Kumari,Matara - Maradana,31,Rainy,Wednesday,Yes,45
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Wednesday,No,20
Ruhunu Kumari,Matara - Maradana,31,Sunny,Wednesday,Yes,6
Ruhunu Kumari,Matara - Maradana,30,Sunny,Wednesday,No,11
Ruhunu Kumari,Matara - Maradana,33,Sunny,Wednesday,No,25
Ruhunu Kumari,Matara - Maradana,33,Windy,Wednesday,Yes,18
Ruhunu Kumari,Matara - Maradana,28,Sunny,Wednesday,No,15
Ruhunu Kumari,Matara - Maradana,32,Sunny,Wednesday,No,4
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Thursday,No,19
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Thursday,No,24
Ruhunu Kumari,Matara - Maradana,32,Rainy,Thursday,No,49
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Thursday,No,25
Ruhunu Kumari,Matara - Maradana,30,Sunny,Thursday,No,4
Ruhunu Kumari,Matara - Maradana,31,Sunny,Thursday,Yes,16
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Thursday,No,3
Ruhunu Kumari,Matara - Maradana,34,Rainy,Thursday,No,28
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Thursday,No,10
Ruhunu Kumari,Matara - Maradana,33,Sunny,Thursday,No,3
Ruhunu Kumari,Matara - Maradana,31,Sunny,Thursday,No,9
Ruhunu Kumari,Matara - Maradana,30,Rainy,Thursday,No,52
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Thursday,No,23
Ruhunu Kumari,Matara - Maradana,32,Rainy,Thursday,No,60
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Thursday,No,24
Ruhunu Kumari,Matara - Maradana,29,Sunny,Thursday,Yes,25
Ruhunu Kumari,Matara - Maradana,31,Sunny,Thursday,No,7
Ruhunu Kumari,Matara - Maradana,30,Rainy,Thursday,No,21
Ruhunu Kumari,Matara - Maradana,31,Rainy,Thursday,No,49
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Thursday,No,19
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Thursday,No,11
Ruhunu Kumari,Matara - Maradana,28,Sunny,Thursday,No,12
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Thursday,No,4
Ruhunu Kumari,Matara - Maradana,32,Rainy,Thursday,No,58
Ruhunu Kumari,Matara - Maradana,29,Rainy,Thursday,No,30
Ruhunu Kumari,Matara - Maradana,29,Rainy,Thursday,No,41
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Thursday,No,25
Ruhunu Kumari,Matara - Maradana,28,Rainy,Thursday,No,59
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Thursday,No,15
Ruhunu Kumari,Matara - Maradana,32,Rainy,Thursday,No,29
Ruhunu Kumari,Matara - Maradana,33,Sunny,Thursday,No,23
Ruhunu Kumari,Matara - Maradana,33,Rainy,Thursday,No,20
Ruhunu Kumari,Matara - Maradana,33,Sunny,Thursday,No,5
Ruhunu Kumari,Matara - Maradana,30,Rainy,Thursday,No,51
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Thursday,No,12
Ruhunu Kumari,Matara - Maradana,31,Sunny,Thursday,No,20
Ruhunu Kumari,Matara - Maradana,29,Rainy,Thursday,No,36
Ruhunu Kumari,Matara - Maradana,31,Sunny,Thursday,No,13
Ruhunu Kumari,Matara - Maradana,31,Sunny,Thursday,No,5
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Thursday,No,1
Ruhunu Kumari,Matara - Maradana,29,Sunny,Thursday,No,22
Ruhunu Kumari,Matara - Maradana,32,Rainy,Thursday,No,41
Ruhunu Kumari,Matara - Maradana,31,Rainy,Thursday,No,35
Ruhunu Kumari,Matara - Maradana,29,Windy,Thursday,No,6
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Thursday,No,7
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Thursday,No,14
Ruhunu Kumari,Matara - Maradana,28,Sunny,Thursday,No,6
Ruhunu Kumari,Matara - Maradana,34,Rainy,Thursday,No,22
Ruhunu Kumari,Matara - Maradana,34,Sunny,Thursday,No,21
Ruhunu Kumari,Matara - Maradana,33,Windy,Thursday,Yes,13
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Friday,Yes,18
Ruhunu Kumari,Matara - Maradana,31,Sunny,Friday,No,5
Ruhunu Kumari,Matara - Maradana,34,Sunny,Friday,No,7
Ruhunu Kumari,Matara - Maradana,32,Sunny,Friday,No,23
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,25
Ruhunu Kumari,Matara - Maradana,31,Rainy,Friday,No,17
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Friday,No,1
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Friday,Yes,3
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Friday,No,2
Ruhunu Kumari,Matara - Maradana,34,Rainy,Friday,No,53
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Friday,No,25
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,1
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Friday,No,17
Ruhunu Kumari,Matara - Maradana,29,Rainy,Friday,No,16
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Friday,No,4
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Friday,Yes,10
Ruhunu Kumari,Matara - Maradana,33,Rainy,Friday,No,33
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,18
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Friday,No,4
Ruhunu Kumari,Matara - Maradana,32,Sunny,Friday,No,1
Ruhunu Kumari,Matara - Maradana,28,Rainy,Friday,No,33
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,9
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Friday,No,19
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,1
Ruhunu Kumari,Matara - Maradana,28,Rainy,Friday,No,57
Ruhunu Kumari,Matara - Maradana,32,Sunny,Friday,No,25
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Friday,No,17
Ruhunu Kumari,Matara - Maradana,29,Rainy,Friday,No,36
Ruhunu Kumari,Matara - Maradana,32,Sunny,Friday,No,18
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,24
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,6
Ruhunu Kumari,Matara - Maradana,29,Rainy,Friday,No,33
Ruhunu Kumari,Matara - Maradana,31,Sunny,Friday,No,20
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Friday,No,20
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Friday,No,1
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Friday,No,4
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Friday,No,10
Ruhunu Kumari,Matara - Maradana,29,Windy,Friday,No,0
Ruhunu Kumari,Matara - Maradana,33,Sunny,Friday,No,1
Ruhunu Kumari,Matara - Maradana,30,Sunny,Friday,No,5
Ruhunu Kumari,Matara - Maradana,30,Sunny,Friday,No,14
Ruhunu Kumari,Matara - Maradana,28,Sunny,Friday,No,4
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Friday,No,14
Ruhunu Kumari,Matara - Maradana,31,Rainy,Friday,No,48
Ruhunu Kumari,Matara - Maradana,33,Rainy,Friday,Yes,21
Ruhunu Kumari,Matara - Maradana,32,Rainy,Friday,No,55
Ruhunu Kumari,Matara - Maradana,34,Sunny,Friday,No,16
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Friday,No,3
Ruhunu Kumari,Matara - Maradana,32,Rainy,Friday,No,18
